performer,song,weeks_on_chart,top_position
Queen,Another One Bites The Dust,31,1
Queen,Crazy Little Thing Called Love,22,1
Queen,Bohemian Rhapsody,44,2
Queen,We Will Rock You/We Are The Champions,41,4
Queen,Body Language,14,11
Queen,Killer Queen,19,12
Queen,Somebody To Love,15,13
Queen,Radio Ga-ga,13,16
Queen,You're My Best Friend,16,16
Queen,Bicycle Race/Fat Bottomed Girls,12,24
Queen,A Kind Of Magic,11,42
Queen,Flash's Theme Aka Flash,10,42
Queen,Play The Game,9,42
Queen,Need Your Loving Tonight,11,44
Queen,I Want To Break Free,8,45
Queen,Tie Your Mother Down,6,49
Queen,I Want It All,10,50
Queen,Calling All Girls,6,60
Queen,One Vision,10,61
Queen,It's A Hard Life,4,72
Queen,It's Late,5,74
Queen,Don't Stop Me Now,4,86
